Time,Bond_Open,Bond_High,Bond_Low,Bond_Close,Bond_Volume,Bond_Amount,Stock_Open,Stock_High,Stock_Low,Stock_Close,Stock_Volume,Stock_Amount,Bond_Code,Stock_Code
2025-01-02 09:30:00,112.969,113.139,112.913,113.026,1102,1245544.0,10.164,10.204,10.144,10.174,100600,1023546.0,110007.SH,600007.SH
2025-01-02 09:31:00,113.018,113.187,112.961,113.074,1115,1260779.0,10.166,10.206,10.146,10.176,100650,1024169.0,110007.SH,600007.SH
2025-01-02 09:32:00,113.067,113.237,113.011,113.124,1128,1276036.0,10.167,10.207,10.147,10.177,100700,1024794.0,110007.SH,600007.SH
2025-01-02 09:33:00,113.117,113.287,113.06,113.174,1141,1291311.0,10.168,10.208,10.148,10.178,100750,1025420.0,110007.SH,600007.SH
2025-01-02 09:34:00,113.167,113.337,113.11,113.224,1154,1306601.0,10.169,10.209,10.149,10.179,100800,1026047.0,110007.SH,600007.SH
2025-01-02 09:35:00,113.217,113.387,113.16,113.273,1167,1321901.0,10.17,10.21,10.15,10.18,100850,1026675.0,110007.SH,600007.SH
2025-01-02 09:36:00,113.266,113.436,113.209,113.323,1180,1337208.0,10.171,10.211,10.151,10.181,100900,1027303.0,110007.SH,600007.SH
2025-01-02 09:37:00,113.314,113.484,113.258,113.371,1193,1352516.0,10.173,10.213,10.153,10.183,100950,1027930.0,110007.SH,600007.SH
2025-01-02 09:38:00,113.361,113.531,113.305,113.418,1206,1367822.0,10.174,10.214,10.154,10.184,101000,1028556.0,110007.SH,600007.SH
2025-01-02 09:39:00,113.407,113.577,113.35,113.464,1219,1383120.0,10.175,10.215,10.155,10.185,101050,1029182.0,110007.SH,600007.SH
2025-01-02 09:40:00,113.45,113.621,113.394,113.507,1232,1398407.0,10.176,10.216,10.156,10.186,101100,1029805.0,110007.SH,600007.SH
2025-01-02 09:41:00,113.492,113.662,113.435,113.548,1245,1413678.0,10.177,10.217,10.157,10.187,101150,1030427.0,110007.SH,600007.SH
2025-01-02 09:42:00,113.531,113.701,113.474,113.587,1258,1428929.0,10.178,10.218,10.158,10.188,101200,1031046.0,110007.SH,600007.SH
2025-01-02 09:43:00,113.567,113.737,113.51,113.624,1271,1444155.0,10.179,10.219,10.159,10.189,101250,1031663.0,110007.SH,600007.SH
2025-01-02 09:44:00,113.6,113.77,113.543,113.657,1284,1459352.0,10.18,10.22,10.16,10.19,101300,1032276.0,110007.SH,600007.SH
2025-01-02 09:45:00,113.63,113.8,113.573,113.687,1297,1474516.0,10.181,10.221,10.161,10.191,101350,1032886.0,110007.SH,600007.SH
2025-01-02 09:46:00,113.656,113.827,113.599,113.713,1310,1489643.0,10.182,10.222,10.162,10.192,101400,1033492.0,110007.SH,600007.SH
2025-01-02 09:47:00,113.679,113.85,113.622,113.736,1323,1504730.0,10.183,10.223,10.163,10.193,101450,1034094.0,110007.SH,600007.SH
2025-01-02 09:48:00,113.699,113.869,113.642,113.755,1336,1519773.0,10.184,10.224,10.164,10.194,101500,1034691.0,110007.SH,600007.SH
2025-01-02 09:49:00,113.714,113.885,113.657,113.771,1349,1534770.0,10.185,10.225,10.165,10.195,101550,1035284.0,110007.SH,600007.SH
2025-01-02 09:50:00,113.726,113.896,113.669,113.782,1362,1549717.0,10.186,10.226,10.166,10.196,101600,1035871.0,110007.SH,600007.SH
2025-01-02 09:51:00,113.733,113.904,113.676,113.79,1375,1564613.0,10.186,10.226,10.166,10.196,101650,1036453.0,110007.SH,600007.SH
2025-01-02 09:52:00,113.737,113.907,113.68,113.794,1388,1579455.0,10.187,10.227,10.167,10.197,101700,1037029.0,110007.SH,600007.SH
2025-01-02 09:53:00,113.736,113.907,113.679,113.793,1401,1594242.0,10.188,10.228,10.168,10.198,101750,1037600.0,110007.SH,600007.SH
2025-01-02 09:54:00,113.732,113.903,113.675,113.789,1414,1608974.0,10.188,10.228,10.168,10.198,101800,1038164.0,110007.SH,600007.SH
2025-01-02 09:55:00,113.724,113.894,113.667,113.781,1427,1623648.0,10.189,10.229,10.169,10.199,101850,1038722.0,110007.SH,600007.SH
2025-01-02 09:56:00,113.712,113.882,113.655,113.769,1440,1638266.0,10.189,10.229,10.169,10.199,101900,1039274.0,110007.SH,600007.SH
