Time,Bond_Open,Bond_High,Bond_Low,Bond_Close,Bond_Volume,Bond_Amount,Stock_Open,Stock_High,Stock_Low,Stock_Close,Stock_Volume,Stock_Amount,Bond_Code,Stock_Code
2025-01-02 09:30:00,111.6,111.768,111.544,111.656,1068,1192486.0,10.095,10.135,10.075,10.105,100400,1014528.0,110005.SH,600005.SH
2025-01-02 09:31:00,111.569,111.737,111.513,111.625,1081,1206667.0,10.094,10.134,10.074,10.104,100450,1014959.0,110005.SH,600005.SH
2025-01-02 09:32:00,111.542,111.709,111.486,111.597,1094,1220876.0,10.093,10.133,10.073,10.103,100500,1015395.0,110005.SH,600005.SH
2025-01-02 09:33:00,111.518,111.685,111.462,111.573,1107,1235117.0,10.093,10.133,10.073,10.103,100550,1015837.0,110005.SH,600005.SH
2025-01-02 09:34:00,111.497,111.665,111.441,111.553,1120,1249393.0,10.092,10.132,10.072,10.102,100600,1016285.0,110005.SH,600005.SH
2025-01-02 09:35:00,111.481,111.648,111.425,111.536,1133,1263707.0,10.092,10.132,10.072,10.102,100650,1016739.0,110005.SH,600005.SH
2025-01-02 09:36:00,111.468,111.635,111.412,111.524,1146,1278062.0,10.091,10.131,10.071,10.101,100700,1017199.0,110005.SH,600005.SH
2025-01-02 09:37:00,111.459,111.627,111.404,111.515,1159,1292460.0,10.091,10.131,10.071,10.101,100750,1017665.0,110005.SH,600005.SH
2025-01-02 09:38:00,111.455,111.622,111.399,111.51,1172,1306903.0,10.091,10.131,10.071,10.101,100800,1018139.0,110005.SH,600005.SH
2025-01-02 09:39:00,111.454,111.621,111.398,111.51,1185,1321393.0,10.09,10.13,10.07,10.1,100850,1018619.0,110005.SH,600005.SH
2025-01-02 09:40:00,111.458,111.625,111.402,111.513,1198,1335932.0,10.09,10.13,10.07,10.1,100900,1019106.0,110005.SH,600005.SH
2025-01-02 09:41:00,111.465,111.633,111.41,111.521,1211,1350520.0,10.09,10.13,10.07,10.1,100950,1019599.0,110005.SH,600005.SH
2025-01-02 09:42:00,111.477,111.644,111.421,111.533,1224,1365159.0,10.09,10.13,10.07,10.1,101000,1020100.0,110005.SH,600005.SH
2025-01-02 09:43:00,111.492,111.66,111.436,111.548,1237,1379849.0,10.09,10.13,10.07,10.1,101050,1020608.0,110005.SH,600005.SH
2025-01-02 09:44:00,111.511,111.679,111.456,111.567,1250,1394589.0,10.09,10.13,10.07,10.1,101100,1021122.0,110005.SH,600005.SH
2025-01-02 09:45:00,111.534,111.701,111.478,111.59,1263,1409380.0,10.09,10.13,10.07,10.1,101150,1021644.0,110005.SH,600005.SH
2025-01-02 09:46:00,111.56,111.728,111.504,111.616,1276,1424220.0,10.091,10.131,10.071,10.101,101200,1022173.0,110005.SH,600005.SH
2025-01-02 09:47:00,111.59,111.757,111.534,111.645,1289,1439109.0,10.091,10.131,10.071,10.101,101250,1022708.0,110005.SH,600005.SH
2025-01-02 09:48:00,111.622,111.789,111.566,111.678,1302,1454043.0,10.091,10.131,10.071,10.101,101300,1023250.0,110005.SH,600005.SH
2025-01-02 09:49:00,111.657,111.824,111.601,111.713,1315,1469022.0,10.092,10.132,10.072,10.102,101350,1023799.0,110005.SH,600005.SH
2025-01-02 09:50:00,111.694,111.862,111.638,111.75,1328,1484043.0,10.092,10.132,10.072,10.102,101400,1024354.0,110005.SH,600005.SH
2025-01-02 09:51:00,111.734,111.902,111.678,111.79,1341,1499103.0,10.093,10.133,10.073,10.103,101450,1024916.0,110005.SH,600005.SH
2025-01-02 09:52:00,111.776,111.943,111.72,111.832,1354,1514199.0,10.093,10.133,10.073,10.103,101500,1025484.0,110005.SH,600005.SH
2025-01-02 09:53:00,111.819,111.987,111.763,111.875,1367,1529327.0,10.094,10.134,10.074,10.104,101550,1026058.0,110005.SH,600005.SH
2025-01-02 09:54:00,111.863,112.031,111.807,111.919,1380,1544484.0,10.095,10.135,10.075,10.105,101600,1026637.0,110005.SH,600005.SH
2025-01-02 09:55:00,111.908,112.076,111.853,111.964,1393,1559665.0,10.095,10.135,10.075,10.105,101650,1027222.0,110005.SH,600005.SH
2025-01-02 09:56:00,111.954,112.122,111.898,112.01,1406,1574867.0,10.096,10.136,10.076,10.106,101700,1027812.0,110005.SH,600005.SH
2025-01-02 09:57:00,112.001,112.169,111.945,112.057,1419,1590084.0,10.097,10.137,10.077,10.107,101750,1028407.0,110005.SH,600005.SH
2025-01-02 09:58:00,112.047,112.215,111.991,112.103,1432,1605312.0,10.098,10.138,10.078,10.108,101800,1029006.0,110005.SH,600005.SH
