Time,Bond_Open,Bond_High,Bond_Low,Bond_Close,Bond_Volume,Bond_Amount,Stock_Open,Stock_High,Stock_Low,Stock_Close,Stock_Volume,Stock_Amount,Bond_Code,Stock_Code
2025-01-02 09:30:00,118.445,118.623,118.386,118.504,1255,1487227.0,10.453,10.493,10.433,10.463,101500,1061995.0,110016.SH,600016.SH
2025-01-02 09:31:00,118.405,118.582,118.345,118.464,1268,1502121.0,10.452,10.492,10.432,10.462,101550,1062425.0,110016.SH,600016.SH
2025-01-02 09:32:00,118.362,118.539,118.303,118.421,1281,1516972.0,10.451,10.491,10.431,10.461,101600,1062851.0,110016.SH,600016.SH
2025-01-02 09:33:00,118.317,118.494,118.258,118.376,1294,1531785.0,10.45,10.49,10.43,10.46,101650,1063273.0,110016.SH,600016.SH
2025-01-02 09:34:00,118.27,118.447,118.211,118.329,1307,1546562.0,10.449,10.489,10.429,10.459,101700,1063691.0,110016.SH,600016.SH
2025-01-02 09:35:00,118.222,118.399,118.162,118.281,1320,1561306.0,10.448,10.488,10.428,10.458,101750,1064106.0,110016.SH,600016.SH
2025-01-02 09:36:00,118.172,118.349,118.113,118.231,1333,1576022.0,10.447,10.487,10.427,10.457,101800,1064518.0,110016.SH,600016.SH
2025-01-02 09:37:00,118.122,118.299,118.063,118.181,1346,1590715.0,10.446,10.486,10.426,10.456,101850,1064927.0,110016.SH,600016.SH
2025-01-02 09:38:00,118.071,118.248,118.012,118.13,1359,1605388.0,10.445,10.485,10.425,10.455,101900,1065334.0,110016.SH,600016.SH
2025-01-02 09:39:00,118.02,118.197,117.961,118.079,1372,1620046.0,10.444,10.484,10.424,10.454,101950,1065740.0,110016.SH,600016.SH
2025-01-02 09:40:00,117.969,118.146,117.91,118.028,1385,1634694.0,10.442,10.482,10.422,10.452,102000,1066144.0,110016.SH,600016.SH
2025-01-02 09:41:00,117.919,118.096,117.86,117.978,1398,1649338.0,10.441,10.481,10.421,10.451,102050,1066547.0,110016.SH,600016.SH
2025-01-02 09:42:00,117.87,118.047,117.811,117.929,1411,1663982.0,10.44,10.48,10.42,10.45,102100,1066949.0,110016.SH,600016.SH
